"","Homo_sapiens","Pan_troglodytes","gorilla_gorilla","Pongo_abelii","Papio_anubis","Macaca_mulatta","Capra_hircus","Ovis_aries","Bos_taurus","Sus_scrofa","lupus_familiaris","Felis_catus","Equus_caballus","Rattus_norvegicus","Mus_musculus","Monodelphis_domestica","Ornithorhynchus_anatinus","Latimeria_chalumnae","Lepisosteus_oculatus","Oryzias_latipes","Takifugu_rubripes","Danio_rerio","Anolis_carolinensis","Xenopus_tropicalis","picta_bellii","Lithobates_sylvaticus","Oryctolagus_cuniculus"
"Mus_musculus",0.4543435568,0.4505374408,0.4488396558,0.4691901379,0.4486049101,0.4614454763,0.6016239919,0.6186108763,0.599130888,0.6010065856,0.6806044779,0.5437396399,0.6191740437,0.0913352923,0,1.1762361722,1.4106769406,2.7193544749,2.8100805869,3.6883037901,3.5613960621,3.0195581231,4.1374910941,2.7337006612,2.0406680438,2.8331723612,0.5200238131
"Monodelphis_domestica",1.2636999586,1.2598938426,1.2581960576,1.2785465397,1.2579613119,1.2708018781,1.4109803937,1.4279672781,1.4084872898,1.4103629874,1.4899608797,1.3530960417,1.4285304455,1.2114374975,1.1762361722,0,1.6328152684,2.9414928027,3.0322189147,3.9104421179,3.7835343899,3.2416964509,4.3596294219,2.955838989,2.2628063716,3.055310689,1.3293802149
"Ornithorhynchus_anatinus",1.498140727,1.494334611,1.492636826,1.5129873081,1.4924020803,1.5052426465,1.6454211621,1.6624080465,1.6429280582,1.6448037558,1.7244016481,1.5875368101,1.6629712139,1.4458782659,1.4106769406,1.6328152684,0,2.5582786437,2.6490047557,3.5272279589,3.4003202309,2.8584822919,3.9764152629,2.57262483,1.8795922126,2.67209653,1.5638209833
"Latimeria_chalumnae",2.8068182613,2.8030121453,2.8013143603,2.8216648424,2.8010796146,2.8139201808,2.9540986964,2.9710855808,2.9516055925,2.9534812901,3.0330791824,2.8962143444,2.9716487482,2.7545558002,2.7193544749,2.9414928027,2.5582786437,0,1.2845586264,2.1627818296,2.0358741016,1.4940361626,2.6119691336,1.6517144693,1.3193472865,3.4738851625,2.8724985176
"Lepisosteus_oculatus",2.8975443733,2.8937382573,2.8920404723,2.9123909544,2.8918057266,2.9046462928,3.0448248084,3.0618116928,3.0423317045,3.0442074021,3.1238052944,2.9869404564,3.0623748602,2.8452819122,2.8100805869,3.0322189147,2.6490047557,1.2845586264,0,1.8367892678,1.7098815398,1.1680436008,2.5654550322,1.7424405813,1.4100733985,3.5646112745,2.9632246296
"Oryzias_latipes",3.7757675765,3.7719614605,3.7702636755,3.7906141576,3.7700289298,3.782869496,3.9230480116,3.940034896,3.9205549077,3.9224306053,4.0020284976,3.8651636596,3.9405980634,3.7235051154,3.6883037901,3.9104421179,3.5272279589,2.1627818296,1.8367892678,0,0.9064427252,1.69475176,3.4436782354,2.6206637845,2.2882966017,4.4428344777,3.8414478328
"Takifugu_rubripes",3.6488598485,3.6450537325,3.6433559475,3.6637064296,3.6431212018,3.655961768,3.7961402836,3.813127168,3.7936471797,3.7955228773,3.8751207696,3.7382559316,3.8136903354,3.5965973874,3.5613960621,3.7835343899,3.4003202309,2.0358741016,1.7098815398,0.9064427252,0,1.567844032,3.3167705074,2.4937560565,2.1613888737,4.3159267497,3.7145401048
"Danio_rerio",3.1070219095,3.1032157935,3.1015180085,3.1218684906,3.1012832628,3.114123829,3.2543023446,3.271289229,3.2518092407,3.2536849383,3.3332828306,3.1964179926,3.2718523964,3.0547594484,3.0195581231,3.2416964509,2.8584822919,1.4940361626,1.1680436008,1.69475176,1.567844032,0,2.7749325684,1.9519181175,1.6195509347,3.7740888107,3.1727021658
"Anolis_carolinensis",4.2249548805,4.2211487645,4.2194509795,4.2398014616,4.2192162338,4.2320568,4.3722353156,4.3892222,4.3697422117,4.3716179093,4.4512158016,4.3143509636,4.3897853674,4.1726924194,4.1374910941,4.3596294219,3.9764152629,2.6119691336,2.5654550322,3.4436782354,3.3167705074,2.7749325684,0,3.0698510885,2.7374839057,4.8920217817,4.2906351368
"Xenopus_tropicalis",2.8211644476,2.8173583316,2.8156605466,2.8360110287,2.8154258009,2.8282663671,2.9684448827,2.9854317671,2.9659517788,2.9678274764,3.0474253687,2.9105605307,2.9859949345,2.7689019865,2.7337006612,2.955838989,2.57262483,1.6517144693,1.7424405813,2.6206637845,2.4937560565,1.9519181175,3.0698510885,0,1.3336934728,3.4882313488,2.8868447039
"picta_bellii",2.1281318302,2.1243257142,2.1226279292,2.1429784113,2.1223931835,2.1352337497,2.2754122653,2.2923991497,2.2729191614,2.274794859,2.3543927513,2.2175279133,2.2929623171,2.0758693691,2.0406680438,2.2628063716,1.8795922126,1.3193472865,1.4100733985,2.2882966017,2.1613888737,1.6195509347,2.7374839057,1.3336934728,0,2.7951987314,2.1938120865
"Lithobates_sylvaticus",2.9206361476,2.9168300316,2.9151322466,2.9354827287,2.9148975009,2.9277380671,3.0679165827,3.0849034671,3.0654234788,3.0672991764,3.1468970687,3.0100322307,3.0854666345,2.8683736865,2.8331723612,3.055310689,2.67209653,3.4738851625,3.5646112745,4.4428344777,4.3159267497,3.7740888107,4.8920217817,3.4882313488,2.7951987314,0,2.9863164039
"Oryctolagus_cuniculus",0.3620403991,0.3582342831,0.3565364981,0.3768869802,0.3563017524,0.3691423186,0.5630071482,0.5799940326,0.5605140443,0.5623897419,0.6419876342,0.5051227962,0.5805572,0.5552251384,0.5200238131,1.3293802149,1.5638209833,2.8724985176,2.9632246296,3.8414478328,3.7145401048,3.1727021658,4.2906351368,2.8868447039,2.1938120865,2.9863164039,0
